"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"AMC, AMP, AXO, CHL, FIS, FOX, GEN, NAL, TET",1,"Yes",0.689016929907617,0.503545983063591,0.735343313533943,0.0226479583469241
"AMC, AMP, AXO, CHL, FIS, FOX, GEN, TET",1,"Yes",0.700909499359961,0.522005312488522,0.740781514093059,0.0272938249293631
"AMC, AMP, AXO, CHL, FOX, TET",1,"Yes",0.73646102238828,0.574811330126949,0.767247757157579,0.0280176563259388
"AMC, AMP, AXO, FIS, FOX, NAL, TET",1,"Yes",0.723990613078697,0.553512499656324,0.758483385112297,0.0306421045504776
"AMC, AMP, AXO, FIS, TET",1,"Yes",0.675258210694818,0.488777070293378,0.714351059544539,0.0708586470518709
"AMC, AMP, AXO, TET",1,"Yes",0.724371851643711,0.556641749864816,0.756548858574303,0.0746379024138026
"AMC, AMP, CHL, COT, FIS, FOX, TET",1,"Yes",0.671871918813476,0.487465252036932,0.713269377498935,0.0565371531551265
"AMC, AMP, CHL, FIS, FOX, GEN, TET",1,"Yes",0.691138549641421,0.511911853095926,0.732663104795226,0.0524421526271657
"AMC, AMP, CHL, FIS, FOX, NAL, TET",1,"Yes",0.685943091152128,0.503086207590228,0.729691554446239,0.0493671261646158
"AMC, AMP, CHL, FIS, FOX, TET",1,"Yes",0.696555880765814,0.520370133636312,0.735802825785225,0.0548437457013281
"AMC, AMP, CHL, FIS, TET",1,"Yes",0.60690204078473,0.402106343030377,0.649878645590695,0.109463281041573
"AMC, AMP, CHL, GEN",1,"Yes",0.555610256425049,0.361653189884767,0.589161431673178,0.0584080647135231
"AMC, AMP, CHL, NAL, TET",1,"Yes",0.576860547347646,0.373889359280824,0.617973218398828,0.14116859152017
"AMC, AMP, FIS, TET",1,"Yes",0.605828964409882,0.390142792715438,0.663243556574845,0.177709874301245
"AMP, AXO, AZI, CHL, CIP, COT, FIS, NAL, TET",1,"Yes",0.656814803326532,0.457633408865197,0.706444820139278,0.0289799604250038
"AMP, AXO, AZI, CHL, CIP, FIS, NAL, TET",1,"Yes",0.662346730709058,0.462633875855362,0.71245631004072,0.0376201841368746
"AMP, AXO, AZI, CHL, COT, FIS, GEN, TET",1,"Yes",0.647376749465502,0.465723496014834,0.688220414239913,0.0628879750878083
"AMP, AXO, AZI, CIP, COT, FIS, GEN, NAL, TET",1,"Yes",0.686471017954853,0.500716310344817,0.736017551071822,0.0290476517353817
"AMP, AXO, CHL, CIP, COT, FIS, NAL, TET",1,"Yes",0.647659305285767,0.45164186718581,0.695505926198213,0.0399765825323071
"AMP, AXO, CHL, COT, FIS, GEN, NAL, TET",1,"Yes",0.681923308462702,0.508416222603723,0.723699876140083,0.0462257545012225
"AMP, AXO, CHL, COT, FIS, GEN, TET",1,"Yes",0.65905568252722,0.484240017082609,0.695566464820875,0.0722507259234639
"AMP, AXO, COT, FIS, FOX",1,"Yes",0.661700836258575,0.47206478455914,0.697841709202672,0.0473151297276818
"AMP, AXO, COT, FIS, GEN, TET",1,"Yes",0.676596405705321,0.501946551809342,0.718047083937025,0.0979119413947568
"AMP, AZI, CHL, CIP, COT, FIS, NAL, TET",1,"Yes",0.657776022454089,0.459874273808698,0.70411764192105,0.0363027790814993
"AMP, AZI, CHL, COT, FIS, TET",1,"Yes",0.60560926194491,0.402257797211184,0.64642621443381,0.0939821682950747
"AMP, AZI, COT, FIS, FOX, TET",1,"Yes",0.612873260246014,0.399044135329728,0.667176544131028,0.136518401896479
"AMP, AZI, COT, FIS, NAL, TET",1,"Yes",0.63486283686846,0.428817047038136,0.683985615461806,0.103937360193354
"AMP, CHL, COT, FIS, GEN, NAL, TET",1,"Yes",0.616488408294265,0.41120481083866,0.659648882517726,0.0744179990130251
"AMP, CHL, COT, FIS, NAL, TET",1,"Yes",0.611968839627778,0.411995897705761,0.64906182299366,0.0911121372567974
"AMP, CHL, NAL, TET",1,"Yes",0.582792156633404,0.384095454932079,0.617036243913081,0.148943155100567
"AMP, CIP, COT, FIS, NAL, TET",1,"Yes",0.652789885106586,0.451521564792806,0.701552464443548,0.0605318114242502
"AMP, CIP, FIS, NAL, TET",1,"Yes",0.6604066392205,0.455570109464785,0.711762189343219,0.0881161311808358
"AMP, COT",1,"Yes",0.614862554754833,0.41477573617909,0.646681858628828,0.0920785388870495
"AMP, COT, FIS, GEN",1,"Yes",0.624283075628414,0.420404309811874,0.666807189870221,0.107404979656722
"AMP, COT, FIS, GEN, TET",1,"Yes",0.619040564798705,0.407101578396941,0.669799513529383,0.145322203928504
"AMP, GEN, TET",1,"Yes",0.607051841255736,0.378934020443746,0.674853565230375,0.30349368374386
"AMP, NAL, TET",1,"Yes",0.607051841255736,0.378934020443746,0.674853565230375,0.30349368374386
"AXO, CHL, FIS, TET",1,"Yes",0.627677174734497,0.407052335132949,0.687809328677725,0.148280966956543
"AZI",1,NA,NA,NA,NA,NA
"AZI, CHL, COT, FIS, TET",1,"Yes",0.617042100387006,0.403476982817117,0.669194897125693,0.123034883659729
"CHL, CIP, FIS, NAL",1,"Yes",0.651671422595914,0.442173023741936,0.709292552288724,0.036356447308796
"CHL, CIP, NAL, TET",1,"Yes",0.646330573934711,0.433867895157135,0.708394137522243,0.0797216656738779
"CHL, COT, FIS",1,"Yes",0.614186784656224,0.405150716336663,0.661753312889552,0.0884947611319255
"CHL, FIS, NAL",1,"Yes",0.628256812352424,0.410163442864438,0.687432011275013,0.0925105527963109
"CHL, FOX, TET",1,"Yes",0.598159625491126,0.361278348693158,0.677160139498182,0.312483208761924
"CIP, NAL, TET",1,"Yes",0.66564190178586,0.452180510154407,0.724828659529894,0.122498646788321
"COT, FIS, NAL, TET",1,"Yes",0.617649704192218,0.397738239648321,0.677411071238662,0.170942074131769
"FIS, GEN",1,"Yes",0.520946981918308,0.271617243315357,0.635808621657678,0.271617243315357
"FIS, GEN, NAL, TET",1,"Yes",0.617525827617175,0.390182616132921,0.685756368543529,0.191028045511126
"FIS, NAL",1,"Yes",0.520946981918308,0.271617243315357,0.635808621657678,0.271617243315357
"FOX, TET",1,"Yes",0.608303479982741,0.371853374497592,0.685926687248796,0.371853374497592
"GEN, TET",1,"Yes",0.608303479982741,0.371853374497592,0.685926687248796,0.371853374497592
