"ID","GENUS","SPECIES","SEROTYPE","ISOLATE_ID","RECEIVED_DATE","STATE","Month","Year","MEAT_TYPE","CUTS","ACQUISITION_DATE","RAISING_CLAIM","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","AMC_Sign","AMC","AMI_Sign","AMI","AMP_Sign","AMP","APR_Sign","APR","ATM_Sign","ATM","AXO_Sign","AXO","AZI_Sign","AZI","CAZ_Sign","CAZ","CEP_Sign","CEP","CHL_Sign","CHL","CIP_Sign","CIP","CLI_Sign","CLI","COT_Sign","COT","CTX_Sign","CTX","DAP_Sign","DAP","DOX_Sign","DOX","ERY_Sign","ERY","FEP_Sign","FEP","FFN_Sign","FFN","FIS_Sign","FIS","FOX_Sign","FOX","GEN_Sign","GEN","IMI_Sign","IMI","KAN_Sign","KAN","LIN_Sign","LIN","LZD_Sign","LZD","MER_Sign","MER","NAL_Sign","NAL","NIT_Sign","NIT","PEN_Sign","PEN","PTZ_Sign","PTZ","QDA_Sign","QDA","SMX_Sign","SMX","STR_Sign","Str","TEL_Sign","TEL","TET_Sign","TET","TGC_Sign","TGC","TIO_Sign","TIO","TYL_Sign","TYL","VAN_Sign","VAN","GENOTYPE","SRA_ACCESSION_NUMBER","BIOSAMPLE_ID","Aminoglycoside_Resist_Genes","Beta_lactam_Resist_Genes","Glycopeptide_Resist_Genes","Macrolide_Resist_Genes","QAC_Resist_Genes","Quinolone_Resist_Genes","Sulfonamide_Resist_Genes","Tetracycline_Resist_Genes","Trimethoprim_Resist_Genes","Phenicol_Resist_Genes","Other_Classes_Resist_Genes","CORRECTED_GENOTYPE"
210307283,"EC","coli","",210309365,"",NA,NA,2017,NA,NA,"6/12/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Heifer","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1A floR strA strB sul2 tet(A)","SRR5862413","SAMN07410329","","","","",NA,"","","","","","blaTEM-1A floR strA strB sul2 tet(A)"," NA blaTEM-1A floR strA strB sul2 tet(A)"
210307300,"EC","coli","",210309382,"",NA,NA,2017,NA,NA,"6/12/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",4,NA,NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5862398","SAMN07410334","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
210307305,"EC","coli","",210309387,"",NA,NA,2017,NA,NA,"6/12/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",32,NA,NA,">",32,NA,NA,"",NA,"=",8,"=",8,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"<=",16,">",32,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"blaCMY-2","SRR5865425","SAMN07411237","","","","",NA,"","","","","",""," NA blaCMY-2"
210307610,"EC","coli","",210309408,"",NA,NA,2017,NA,NA,"6/13/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",8,NA,NA,"=",8,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",8,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5862406","SAMN07410345","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
210308951,"EC","coli","",210311455,"",NA,NA,2017,NA,NA,"6/15/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","<=",1,NA,NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,"=",4,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5851438","SAMN07371045","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
210309295,"EC","coli","",210311461,"",NA,NA,2017,NA,NA,"6/20/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Beef Cow","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",8,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1B tet(A)","SRR5851441","SAMN07371047","","","","",NA,"","","","","","blaTEM-1B tet(A)"," NA blaTEM-1B tet(A)"
210310615,"EC","coli","",210313184,"",NA,NA,2017,NA,NA,"6/26/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Heifer","=",4,NA,NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5890288","SAMN07440312","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
210310964,"EC","coli","",210313218,"",NA,NA,2017,NA,NA,"6/26/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",4,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",8,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5912878","SAMN07461233","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
210310973,"EC","coli","",210313226,"",NA,NA,2017,NA,NA,"6/27/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",8,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1A floR strA strB sul2 tet(A)","SRR5912882","SAMN07461232","","","","",NA,"","","","","","blaTEM-1A floR strA strB sul2 tet(A)"," NA blaTEM-1A floR strA strB sul2 tet(A)"
210312526,"EC","coli","",210313878,"",NA,NA,2017,NA,NA,"6/30/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",2,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"<=",16,"=",16,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR5901518","SAMN07450950","","","","",NA,"","","","","",""," NA"
210313449,"EC","coli","",210315974,"",NA,NA,2017,NA,NA,"7/10/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Heifer","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1A floR strA strB sul2 tet(A)","SRR5956525","SAMN07537102","","","","",NA,"","","","","","blaTEM-1A floR strA strB sul2 tet(A)"," NA blaTEM-1A floR strA strB sul2 tet(A)"
210313480,"EC","coli","",210316000,"",NA,NA,2017,NA,NA,"7/6/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1B floR strA strB sul2 tet(A) tet(B)","SRR5956527","SAMN07537106","","","","",NA,"","","","","","blaTEM-1B floR strA strB sul2 tet(A) tet(B)"," NA blaTEM-1B floR strA strB sul2 tet(A) tet(B)"
210313781,"EC","coli","",210316008,"",NA,NA,2017,NA,NA,"7/11/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",32,NA,NA,">",32,NA,NA,"",NA,"=",4,"=",8,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"=",0.5,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",16,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaCMY-2 floR strA strB sul2 tet(A)","SRR5956533","SAMN07537104","","","","",NA,"","","","","","blaCMY-2 floR strA strB sul2 tet(A)"," NA blaCMY-2 floR strA strB sul2 tet(A)"
210313795,"EC","coli","",210316019,"",NA,NA,2017,NA,NA,"7/10/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",8,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",32,"",NA,NA,NA,"=",16,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR5958608","SAMN07537142","","","","",NA,"","","","","",""," NA"
210313797,"EC","coli","",210316020,"",NA,NA,2017,NA,NA,"7/10/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Heifer","=",4,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,NA,NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"=",32,"=",4,"=",8,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"aac(3)-VIa aadA1 blaHERA-3","SRR5912887","SAMN07461227","","","","",NA,"","","","","","aac(3)-VIa aadA1 blaHERA-3"," NA aac(3)-VIa aadA1 blaHERA-3"
210315173,"EC","coli","",210317645,"",NA,NA,2017,NA,NA,"7/17/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Beef Cow","=",2,NA,NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",8,"=",0.5,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"<=",16,"=",8,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",16,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",8,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"qnrB19 tet(B)","SRR5958610","SAMN07537144","","","","",NA,"","","","","","qnrB19 tet(B)"," NA qnrB19 tet(B)"
210315180,"EC","coli","",210317652,"",NA,NA,2017,NA,NA,"7/17/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",4,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",8,"=",0.5,"",NA,"",NA,"",NA,"",NA,"=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,"=",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1A strA strB sul2 tet(A)","SRR6010192","SAMN07608075","","","","",NA,"","","","","","blaTEM-1A strA strB sul2 tet(A)"," NA blaTEM-1A strA strB sul2 tet(A)"
210315182,"EC","coli","",210317654,"",NA,NA,2017,NA,NA,"7/13/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow",">",32,NA,NA,">",32,NA,NA,"",NA,"=",32,"=",8,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,">",32,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaCMY-2 floR strA strB sul2 tet(A) tet(M)","SRR5958619","SAMN07537145","","","","",NA,"","","","","","blaCMY-2 floR strA strB sul2 tet(A) tet(M)"," NA blaCMY-2 floR strA strB sul2 tet(A) tet(M)"
210315187,"EC","coli","",210317660,"",NA,NA,2017,NA,NA,"7/17/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",4,NA,NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"floR strA strB sul2 tet(A)","SRR5958628","SAMN07537147","","","","",NA,"","","","","","floR strA strB sul2 tet(A)"," NA floR strA strB sul2 tet(A)"
210315203,"EC","coli","",210317674,"",NA,NA,2017,NA,NA,"7/17/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",4,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5958631","SAMN07537149","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
210315206,"EC","coli","",210317676,"",NA,NA,2017,NA,NA,"7/13/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",2,NA,NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,NA,NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",2,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5958616","SAMN07537150","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
