"ID","GENUS","GROWTH","SPECIES","SEROTYPE","ISOLATE_ID","RECEIVED_DATE","PLATE","STATE","Month","Year","MEAT_TYPE","CUTS","SELLBY_DATE","ACQUISITION_DATE","RAISING_CLAIM","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","BRAND","BRAND_NAME","ESTABLISHMENT_NUMBER","AMC_Sign","AMC","AMI_Sign","AMI","AMP_Sign","AMP","APR_Sign","APR","ATM_Sign","ATM","AXO_Sign","AXO","AZI_Sign","AZI","BAC_Sign","BAC","CAZ_Sign","CAZ","CEP_Sign","CEP","CHL_Sign","CHL","CIP_Sign","CIP","CLI_Sign","CLI","COT_Sign","COT","CTX_Sign","CTX","DAP_Sign","DAP","DOX_Sign","DOX","ERY_Sign","ERY","FEP_Sign","FEP","FFN_Sign","FFN","FIS_Sign","FIS","FOX_Sign","FOX","GEN_Sign","GEN","IMI_Sign","IMI","KAN_Sign","KAN","LIN_Sign","LIN","LZD_Sign","LZD","MER_Sign","MER","NAL_Sign","NAL","NIT_Sign","NIT","PEN_Sign","PEN","PTZ_Sign","PTZ","QDA_Sign","QDA","SMX_Sign","SMX","STR_Sign","Str","TEL_Sign","TEL","TET_Sign","TET","TGC_Sign","TGC","TIO_Sign","TIO","TYL_Sign","TYL","VAN_Sign","VAN","GENOTYPE","SRA_ACCESSION_NUMBER","BIOSAMPLE_ID","Aminoglycoside_Resist_Genes","Beta_lactam_Resist_Genes","Glycopeptide_Resist_Genes","Macrolide_Resist_Genes","QAC_Resist_Genes","Quinolone_Resist_Genes","Sulfonamide_Resist_Genes","Tetracycline_Resist_Genes","Trimethoprim_Resist_Genes","Phenicol_Resist_Genes","Other_Classes_Resist_Genes","CORRECTED_GENOTYPE"
"17GA01GB04","EC","YES","coli","","17GA01GB04-EC","3/23/2017","CMV4AGNF","GA",1,2017,"GB","","2/5/2017","1/30/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","XX","STEAKHOUSE ELITE/ KOBE BEEF AMERICA","EST2720A","=",8,"",NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,">",32,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",2,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"aph(3``)-Ib aph(6)-Id blaTEM-1A floR sul2 tet(A)","SRR8095932","SAMN10220966","aph(3``)-Ib  aph(6)-Id","blaTEM-1A","","","","","sul2","tet(A)","","floR",NA,"aph(3``)-Ib  aph(6)-Id blaTEM-1A sul2 tet(A) floR NA"
"17GA01GB07","EC","YES","coli","","17GA01GB07-EC","3/23/2017","CMV4AGNF","GA",1,2017,"GB","","2/3/2017","1/30/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","CZ","KROGER","EST244G","=",2,"",NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",1,"",NA,"",NA,"",NA,"<=",2,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095933","SAMN10220967","","","","","","","","","","",NA," NA"
"17GA01GB09","EC","YES","coli","","17GA01GB09-EC","3/23/2017","CMV4AGNF","GA",1,2017,"GB","","2/3/2017","1/30/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","FY","WAYFIELD","NONE","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"tet(A) tet(C) tet(S/M)","SRR8095979","SAMN10220968","","","","","","","","tet(A)  tet(C)  tet(S/M)","","",NA," tet(A) tet(C) tet(S/M) NA"
"17GA02GB02","EC","YES","coli","","17GA02GB02-EC","3/23/2017","CMV4AGNF","GA",2,2017,"GB","","3/2/2017","2/28/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","GD","WHOLE FOODS","NONE","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"<=",0.25,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095758","SAMN10220982","","","","","","","","","","",NA," NA"
"17GA03GB08","EC","YES","coli","","17GA03GB08-EC","5/18/2017","CMV4AGNF","GA",3,2017,"GB","","3/29/2017","3/27/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","GD","WHOLE FOODS","NONE","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"=",32,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095363","SAMN10220990","","","","","","","","","","",NA," NA"
"17GA04GB06","EC","YES","coli","","17GA04GB06-EC","5/18/2017","CMV4AGNF","GA",4,2017,"GB","","4/25/2017","4/24/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","ED","PUBLIX","NONE","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095413","SAMN10220998","","","","","","","","","","",NA," NA"
"17GA05GB04","EC","YES","coli","","17GA05GB04-EC","6/14/2017","CMV4AGNF","GA",5,2017,"GB","","5/11/2017","5/8/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","DA","LAURA'S LEAN BEEF (LAURA'S BEEF) / LAURA'S LEAN (GROUND TURKEY)","244G","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"fosA7","SRR8095460","SAMN10221270","","","","","","","","","","","fosA7"," NA fosA7"
"17GA05GB08","EC","YES","coli","","17GA05GB08-EC","6/14/2017","CMV4AGNF","GA",5,2017,"GB","","5/22/2017","5/21/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","GW","ANGUS PRIDE","NONE","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"tet(B)","SRR8095461","SAMN10221271","","","","","","","","tet(B)","","",NA," tet(B) NA"
"17GA06GB10","EC","YES","coli","","17GA06GB10-EC","7/19/2017","CMV4AGNF","GA",6,2017,"GB","","6/20/2017","6/18/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","DV","PIGGLY WIGGLY","NONE","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"=",8,"",NA,"",NA,"",NA,"",NA,"tet(C)","SRR8095869","SAMN10221278","","","","","","","","tet(C)","","",NA," tet(C) NA"
"17GA07GB02","EC","YES","coli","","17GA07GB02-EC","8/16/2017","CMV4AGNF","GA",7,2017,"GB","","7/10/2017","7/9/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","GD","WHOLE FOODS","EST. 10017","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095863","SAMN10221284","","","","","","","","","","",NA," NA"
"17GA07GB10","EC","YES","coli","","17GA07GB10-EC","8/16/2017","CMV4AGNF","GA",7,2017,"GB","","7/27/2017","7/23/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","SW","TRADER JOE'S","EST. 10017","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"=",32,"=",8,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095672","SAMN10221285","","","","","","","","","","",NA," NA"
"17GA08GB10","EC","YES","coli","","17GA08GB10-EC","9/21/2017","CMV4AGNF","GA",8,2017,"GB","","8/22/2017","8/19/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","FV","WALMART","EST 86A","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",2,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,"",NA,"=",16,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095527","SAMN10221418","","","","","","","","","","",NA," NA"
"17GA09GB06","EC","YES","coli","","17GA09GB06-EC","11/2/2017","CMV4AGNF","GA",9,2017,"GB","","9/21/2017","9/17/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","FV","WALMART","EST. 86A","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"fosA7","SRR8095533","SAMN10221424","","","","","","","","","","","fosA7"," NA fosA7"
"17GA10GB10","EC","YES","coli","","17GA10GB10-EC","11/2/2017","CMV4AGNF","GA",10,2017,"GB","","10/18/2017","10/15/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","NG","ALDI","244G","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095615","SAMN10221430","","","","","","","","","","",NA," NA"
"17GA11GB08","EC","YES","coli","","17GA11GB08-EC","12/14/2017","CMV4AGNF","GA",11,2017,"GB","","11/23/2017","11/19/2017","ANTIBIOTIC FREE","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","DA","LAURA'S LEAN BEEF (LAURA'S BEEF) / LAURA'S LEAN (GROUND TURKEY)","244G","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095347","SAMN10221564","","","","","","","","","","",NA," NA"
"17GA12GB02","EC","YES","coli","","17GA12GB02-EC","1/24/2018","CMV4AGNF","GA",12,2017,"GB","","12/6/2017","12/3/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","CO","INGLES","NONE","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"=",8,"",NA,"",NA,"",NA,"",NA,"tet(C)","SRR8095360","SAMN10221632","","","","","","","","tet(C)","","",NA," tet(C) NA"
"17GA12GB10","EC","YES","coli","","17GA12GB10-EC","1/24/2018","CMV4AGNF","GA",12,2017,"GB","","12/26/2017","12/17/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","NG","ALDI","244G","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095359","SAMN10221633","","","","","","","","","","",NA," NA"
"17IA01GB08","EC","YES","coli","","17IA01GB08-EC","3/6/2017","CMV4AGNF","IA",1,2017,"GB","","","1/20/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","ADZ","FAREWAY","NONE","=",8,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"=",32,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095676","SAMN10221023","","","","","","","","","","",NA," NA"
"17IA01GB10","EC","YES","coli","","17IA01GB10-EC","3/6/2017","CMV4AGNF","IA",1,2017,"GB","","","1/20/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","ADZ","FAREWAY","NONE","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",16,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",8,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095679","SAMN10221024","","","","","","","","","","",NA," NA"
"17IA02GB03","EC","YES","coli","","17IA02GB03-EC","3/6/2017","CMV4AGNF","IA",2,2017,"GB","","2/16/2017","2/3/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","SW","TRADER JOES BUTCHER SHOP","NONE","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095521","SAMN10221048","","","","","","","","","","",NA," NA"
"17IA02GB07","EC","YES","coli","","17IA02GB07-EC","3/6/2017","CMV4AGNF","IA",2,2017,"GB","","2/19/2017","2/17/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","WM","HYVEE","NONE","=",8,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095522","SAMN10221049","","","","","","","","","","",NA," NA"
