"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, MACROLIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MACROLIDE, NITROFURAN, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MACROLIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, QUINOLONE, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, STREPTOTHRICIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, SULFONAMIDE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, MACROLIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"BETA-LACTAM, EFFLUX, FOSFOMYCIN",2,"Yes"
"EFFLUX, FOSFOMYCIN, MULTIDRUG",2,"Yes"
"EFFLUX, FOSFOMYCIN, SULFONAMIDE, TETRACYCLINE",2,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, MACROLIDE, PHENICOL, QUINOLONE, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, MACROLIDE, STREPTOTHRICIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, STREPTOTHRICIN, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, BLEOMYCIN, EFFLUX, FOSFOMYCIN, PHENICOL, STREPTOTHRICIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, MACROLIDE, PHENICOL, QUINOLONE, RIFAMYCIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, MACROLIDE, PHENICOL, STREPTOGRAMIN, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, MACROLIDE, QUINOLONE, RIFAMYCIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, PHENICOL, QUINOLONE, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, PHENICOL, SULFONAMIDE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MACROLIDE, NITROFURAN, PHENICOL, QUINOLONE, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MACROLIDE, PHENICOL, QUINOLONE, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MACROLIDE, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MULTIDRUG, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MULTIDRUG, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, NITROFURAN, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, PHENICOL, QUINOLONE, RIFAMYCIN, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, SULFONAMIDE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, LINCOSAMIDE, MACROLIDE, PHENICOL, QUINOLONE, RIFAMYCIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, LINCOSAMIDE, MACROLIDE, PHENICOL, QUINOLONE, STREPTOGRAMIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, LINCOSAMIDE, MACROLIDE, PHENICOL, STREPTOGRAMIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, LINCOSAMIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, MACROLIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, EFFLUX, SULFONAMIDE, TRIMETHOPRIM",1,"Yes"
"BETA-LACTAM, EFFLUX",1,"Yes"
"BETA-LACTAM, EFFLUX, FOSFOMYCIN, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"EFFLUX, FOSFOMYCIN, MACROLIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"EFFLUX, FOSFOMYCIN, MULTIDRUG, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE",1,"Yes"
"EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TETRACYCLINE",1,"Yes"
"EFFLUX, FOSFOMYCIN, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
"EFFLUX, FOSFOMYCIN, TRIMETHOPRIM",1,"Yes"
"EFFLUX, MACROLIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",1,"Yes"
