"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",7,"Yes",0.746586385853489,0.584467980105709,0.777137759512998,0.407205175026998
"EFFLUX, FOSFOMYCIN, TETRACYCLINE",7,"Yes",0.736018840108655,0.56832008856223,0.784160044281115,0.567032549714725
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",7,"Yes",0.766911044183577,0.603271709181764,0.795324647874849,0.489206819931852
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR",6,"Yes",0.742588483069641,0.584750664802207,0.779398826466593,0.444877122499515
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",6,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",6,"Yes",0.812816995494449,0.677813714151491,0.830949485903875,0.4525398225479
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, TETRACYCLINE",5,"Yes",0.675458818430665,0.482828269847641,0.719655795901888,0.275237735304373
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, STREPTOTHRICIN, TETRACYCLINE",5,"Yes",0.729585795526669,0.561161212162837,0.765665082221958,0.482055231409163
"AMINOGLYCOSIDE, MACROLIDE, TETRACYCLINE",5,"Yes",0.769540815637615,0.610882639068457,0.79937289259648,0.500648125887889
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",5,"Yes",0.735366614488869,0.566822654248279,0.767127652910971,0.482467862545307
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",4,"Yes",0.746586385853489,0.584467980105709,0.777137759512998,0.407205175026998
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, PHENICOL, TETRACYCLINE",4,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",4,"Yes",0.718229321794288,0.544826335385839,0.750215194449061,0.450321296246202
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",3,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, TETRACYCLINE",3,"Yes",0.729585795526669,0.561161212162837,0.765665082221958,0.482055231409163
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, TETRACYCLINE",3,"Yes",0.743003298982597,0.579554903546873,0.774909951999336,0.404967853961935
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes",0.676263975342276,0.483887575421549,0.720090847214834,0.275398796874765
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, STREPTOTHRICIN, TETRACYCLINE",3,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, TETRACYCLINE",3,"Yes",0.721747111842667,0.55041277341497,0.760823560128719,0.474108329742151
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, STREPTOTHRICIN",3,"Yes",0.718602560583312,0.556184532045977,0.767148980944613,0.548858850941801
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",3,"Yes",0.667790204344493,0.474936469323345,0.71143790798607,0.26543548563555
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",3,"Yes",0.745508054154375,0.586423277519671,0.774334406325993,0.398774110495279
"AMINOGLYCOSIDE, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, TETRACYCLINE",3,"Yes",0.701414746083631,0.511613183334656,0.745813305382598,0.29458675393269
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR",3,"Yes",0.795182748510177,0.654890035615167,0.822904358718417,0.452007042354806
"BETA-LACTAM, cyaA.S352T., EFFLUX",3,"Yes",0.944441818142496,0.903770059428943,0.951885029714471,0.900720283968653
"BETA-LACTAM, cyaA.S352T., EFFLUX, FOSFOMYCIN",3,"Yes",0.835857026700528,0.742878776377348,0.871439388188674,0.740425709159696
"BETA-LACTAM, EFFLUX, soxS.A12S.",3,"Yes",0.944441818142496,0.903770059428943,0.951885029714471,0.900720283968653
"EFFLUX, TETRACYCLINE",3,"Yes",0.7976323458543,0.65235149620032,0.82617574810016,0.650893612891607
"QUINOLONE, TETRACYCLINE",3,"Yes",0.783042485203676,0.623410519005239,0.811705259502619,0.623410519005239
"AMINOGLYCOSIDE, BETA-LACTAM",2,"Yes",0.681292596122228,0.499783454902939,0.73093292286275,0.491145561036948
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, QUINOLONE, TETRACYCLINE",2,"Yes",0.743003298982597,0.579554903546873,0.774909951999336,0.404967853961935
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, soxS.A12S., TETRACYCLINE",2,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",2,"Yes",0.746586385853489,0.584467980105709,0.777137759512998,0.407205175026998
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, STREPTOTHRICIN, TETRACYCLINE",2,"Yes",0.746586385853489,0.584467980105709,0.777137759512998,0.407205175026998
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, STREPTOTHRICIN, TETRACYCLINE",2,"Yes",0.721747111842667,0.55041277341497,0.760823560128719,0.474108329742151
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",2,"Yes",0.729713718801832,0.568787990115974,0.765497917817346,0.411853944315697
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, QUINOLONE, TETRACYCLINE",2,"Yes",0.667790204344493,0.474936469323345,0.71143790798607,0.26543548563555
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, QUINOLONE, TETRACYCLINE",2,"Yes",0.743820592477212,0.583973411385623,0.77327220802133,0.3979419095942
"AMINOGLYCOSIDE, BETA-LACTAM, QUINOLONE, TETRACYCLINE",2,"Yes",0.724794905783592,0.55593608206482,0.757173024836083,0.46566725215993
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",2,"Yes",0.706917819552572,0.518928301565069,0.7502813988516,0.301418353223946
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",2,"Yes",0.808432753896264,0.671554132348469,0.827952317855228,0.450034805604937
"AMINOGLYCOSIDE, MACROLIDE",2,"Yes",0.664566954648951,0.458418988257412,0.729209494128706,0.458418988257412
"BETA-LACTAM, cyaA.S352T., EFFLUX, FOSFOMYCIN, QUINOLONE",2,"Yes",0.835857026700528,0.742878776377348,0.871439388188674,0.740425709159696
"EFFLUX, FOSFOMYCIN",2,"Yes",0.704638776850142,0.553283472987438,0.776641736493719,0.552885707493595
"FOLATE-PATHWAY-INHIBITOR",2,NA,NA,NA,NA,NA
"PHENICOL, QUINOLONE, TETRACYCLINE",2,"Yes",0.636780164770701,0.422368530513523,0.705085378595457,0.347781764051544
"AMINOGLYCOSIDE, arr.2.mdtM, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, BLEOMYCIN, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, TETRACYCLINE",1,"Yes",0.675458818430665,0.482828269847641,0.719655795901888,0.275237735304373
"AMINOGLYCOSIDE, BETA-LACTAM, COLISTIN, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",1,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR",1,"Yes",0.742588483069641,0.584750664802207,0.779398826466593,0.444877122499515
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, LINCOSAMIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.669103608763229,0.473144387320398,0.716223301700416,0.25765581197409
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.670075101368455,0.474445443084744,0.716749498267153,0.257644287496949
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, QUINOLONE, TETRACYCLINE",1,"Yes",0.745582182352213,0.583028035339711,0.776494808714386,0.406669632327728
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",1,"Yes",0.745582182352213,0.583028035339711,0.776494808714386,0.406669632327728
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL",1,"Yes",0.685282650675295,0.49842897372433,0.725466421711119,0.288535858409559
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, QUINOLONE, TETRACYCLINE",1,"Yes",0.729585795526669,0.561161212162837,0.765665082221958,0.482055231409163
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX",1,"Yes",0.718602560583312,0.556184532045977,0.767148980944613,0.548858850941801
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN",1,"Yes",0.733411410805364,0.571939648845116,0.773505548985462,0.437561261798198
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, LINCOSAMIDE, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes",0.669852615616891,0.474285702046823,0.716627845659876,0.25972796722373
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, QUINOLONE",1,"Yes",0.682346673050144,0.494436391939384,0.723868143083747,0.288049927565815
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, QUINOLONE, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.675458818430665,0.482828269847641,0.719655795901888,0.275237735304373
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.675458818430665,0.482828269847641,0.719655795901888,0.275237735304373
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, PHENICOL, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.676263975342276,0.483887575421549,0.720090847214834,0.275398796874765
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",1,"Yes",0.745582182352213,0.583028035339711,0.776494808714386,0.406669632327728
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.746586385853489,0.584467980105709,0.777137759512998,0.407205175026998
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, PHENICOL, TETRACYCLINE",1,"Yes",0.654232044191466,0.457419252262906,0.703361519023357,0.314318639512631
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, MACROLIDE, TETRACYCLINE",1,"Yes",0.727392828503214,0.558003621843414,0.764268183694679,0.479862348172102
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, MACROLIDE, PHENICOL, STREPTOGRAMIN, TETRACYCLINE",1,"Yes",0.757360779040961,0.609007058244423,0.792586030162297,0.125274972001351
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL",1,"Yes",0.66970333691979,0.479401638814264,0.709609079062328,0.263354683389829
"AMINOGLYCOSIDE, BETA-LACTAM, PHENICOL, TETRACYCLINE",1,"Yes",0.644750459775205,0.446719941560028,0.691021100486674,0.290728123848284
"AMINOGLYCOSIDE, BETA-LACTAM, QUINOLONE",1,"Yes",0.681292596122228,0.499783454902939,0.73093292286275,0.491145561036948
"AMINOGLYCOSIDE, EFFLUX",1,"Yes",0.717750476268979,0.544677745023254,0.772338872511627,0.543528134065397
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, STREPTOTHRICIN",1,"Yes",0.673254514005903,0.483719284065963,0.741859642032982,0.482673959208417
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, STREPTOTHRICIN, TETRACYCLINE",1,"Yes",0.739231741176157,0.570016379240617,0.779949974875084,0.480108598912264
"AMINOGLYCOSIDE, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes",0.672820493048314,0.470700185391435,0.726227048972533,0.318806875557203
"AMINOGLYCOSIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.672820493048314,0.470700185391435,0.726227048972533,0.318806875557203
"BETA-LACTAM, cyaA.S352T., EFFLUX, TETRACYCLINE",1,"Yes",0.778803420405458,0.634500792159411,0.806931105200972,0.627806985876492
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR",1,"Yes",0.771134639489853,0.630809660421776,0.803483823799064,0.622987067625003
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, TETRACYCLINE",1,"Yes",0.726356056004299,0.55455794516725,0.761646645338984,0.473550827432807
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, MACROLIDE, PHENICOL, STREPTOGRAMIN, TETRACYCLINE",1,"Yes",0.735477283968165,0.575377320858481,0.778396255499081,0.118673899559856
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL",1,"Yes",0.698156434891719,0.520968093088968,0.733172572187497,0.353163191374617
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",1,"Yes",0.666563515175456,0.471824487077624,0.711185901684421,0.304519919896209
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes",0.735366614488869,0.566822654248279,0.767127652910971,0.482467862545307
"BETA-LACTAM, EFFLUX, MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.664665538764219,0.479763689985412,0.712698704700883,0.397100543431652
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE",1,"Yes",0.70059798056894,0.528145438853868,0.74079314259919,0.518827473834083
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes",0.718229321794288,0.544826335385839,0.750215194449061,0.450321296246202
"BETA-LACTAM, MACROLIDE",1,"Yes",0.784950425367552,0.653565083811953,0.826782541905977,0.653565083811953
"BETA-LACTAM, MACROLIDE, TETRACYCLINE",1,"Yes",0.733657646620957,0.566103415775299,0.769163882119626,0.558493883980325
"BETA-LACTAM, QUINOLONE",1,"Yes",0.863346400622278,0.770673843092555,0.885336921546277,0.770673843092555
"BETA-LACTAM, QUINOLONE, TETRACYCLINE",1,"Yes",0.74679301426507,0.584950887904238,0.777595630629237,0.576797818123909
"EFFLUX",1,NA,NA,NA,NA,NA
"EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, QUINOLONE",1,"Yes",0.690383225243898,0.493240811638723,0.742516864288866,0.335729842388012
"EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, TETRACYCLINE",1,"Yes",0.741752232824907,0.57012276358901,0.779326846783319,0.477013006094192
"EFFLUX, FOSFOMYCIN, QUINOLONE, TETRACYCLINE",1,"Yes",0.736018840108655,0.56832008856223,0.784160044281115,0.567032549714725
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",1,"Yes",0.681201982143334,0.480066374043557,0.731381713108876,0.307886917898825
