items,support,count,Year,Resistance_Indicator
"{Folate Pathway Inhibitors,Phenicols,Quinolones}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Phenicols,Quinolones}",0.015037594,2,2018,Genotype
"{Phenicols,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Quinolones}",0.015037594,2,2018,Genotype
"{Folate Pathway Inhibitors,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Phenicols}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Phenicols}",0.015037594,2,2018,Genotype
"{Beta-Lactam,Phenicols,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors}",0.015037594,2,2018,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Tetracyclines}",0.030075188,4,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Phenicols}",0.037593985,5,2018,Genotype
"{Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.037593985,5,2018,Genotype
"{Aminoglycosides,Phenicols,Tetracyclines}",0.037593985,5,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Tetracyclines}",0.105263158,14,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Phenicols,Quinolones}",0.015037594,2,2018,Genotype
"{Folate Pathway Inhibitors,Phenicols,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Phenicols,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Phenicols}",0.015037594,2,2018,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Phenicols,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.037593985,5,2018,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Phenicols,Quinolones,Tetracyclines}",0.015037594,2,2018,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.015037594,2,2018,Genotype
{Quinolones},0.006993007,2,2019,Phenotype
{Aminoglycosides},0.006993007,2,2019,Phenotype
{Beta-Lactam},0.020979021,6,2019,Phenotype
{Phenicols},0.024475524,7,2019,Phenotype
{Folate Pathway Inhibitors},0.066433566,19,2019,Phenotype
{Tetracyclines},0.195804196,56,2019,Phenotype
"{Phenicols,Quinolones}",0.003496503,1,2019,Phenotype
"{Folate Pathway Inhibitors,Quinolones}",0.003496503,1,2019,Phenotype
"{Quinolones,Tetracyclines}",0.003496503,1,2019,Phenotype
"{Aminoglycosides,Beta-Lactam}",0.003496503,1,2019,Phenotype
"{Aminoglycosides,Folate Pathway Inhibitors}",0.006993007,2,2019,Phenotype
"{Aminoglycosides,Tetracyclines}",0.006993007,2,2019,Phenotype
"{Beta-Lactam,Phenicols}",0.013986014,4,2019,Phenotype
"{Beta-Lactam,Folate Pathway Inhibitors}",0.017482517,5,2019,Phenotype
"{Beta-Lactam,Tetracyclines}",0.020979021,6,2019,Phenotype
"{Folate Pathway Inhibitors,Phenicols}",0.020979021,6,2019,Phenotype
"{Phenicols,Tetracyclines}",0.024475524,7,2019,Phenotype
"{Folate Pathway Inhibitors,Tetracyclines}",0.066433566,19,2019,Phenotype
"{Folate Pathway Inhibitors,Phenicols,Quinolones}",0.003496503,1,2019,Phenotype
"{Phenicols,Quinolones,Tetracyclines}",0.003496503,1,2019,Phenotype
"{Folate Pathway Inhibitors,Quinolones,Tetracyclines}",0.003496503,1,2019,Phenotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors}",0.003496503,1,2019,Phenotype
"{Aminoglycosides,Beta-Lactam,Tetracyclines}",0.003496503,1,2019,Phenotype
"{Aminoglycosides,Folate Pathway Inhibitors,Tetracyclines}",0.006993007,2,2019,Phenotype
"{Beta-Lactam,Folate Pathway Inhibitors,Phenicols}",0.013986014,4,2019,Phenotype
"{Beta-Lactam,Phenicols,Tetracyclines}",0.013986014,4,2019,Phenotype
"{Beta-Lactam,Folate Pathway Inhibitors,Tetracyclines}",0.017482517,5,2019,Phenotype
"{Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.020979021,6,2019,Phenotype
"{Folate Pathway Inhibitors,Phenicols,Quinolones,Tetracyclines}",0.003496503,1,2019,Phenotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Tetracyclines}",0.003496503,1,2019,Phenotype
"{Beta-Lactam,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.013986014,4,2019,Phenotype
{Macrolides},0.003521127,1,2019,Genotype
{Beta-Lactam},0.024647887,7,2019,Genotype
{Phenicols},0.024647887,7,2019,Genotype
{Folate Pathway Inhibitors},0.070422535,20,2019,Genotype
{Aminoglycosides},0.116197183,33,2019,Genotype
{Tetracyclines},0.228873239,65,2019,Genotype
"{Beta-Lactam,Macrolides}",0.003521127,1,2019,Genotype
"{Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Folate Pathway Inhibitors,Macrolides}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Macrolides}",0.003521127,1,2019,Genotype
"{Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Phenicols}",0.014084507,4,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors}",0.017605634,5,2019,Genotype
"{Aminoglycosides,Beta-Lactam}",0.024647887,7,2019,Genotype
"{Beta-Lactam,Tetracyclines}",0.024647887,7,2019,Genotype
"{Folate Pathway Inhibitors,Phenicols}",0.021126761,6,2019,Genotype
"{Aminoglycosides,Phenicols}",0.021126761,6,2019,Genotype
"{Phenicols,Tetracyclines}",0.024647887,7,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors}",0.063380282,18,2019,Genotype
"{Folate Pathway Inhibitors,Tetracyclines}",0.066901408,19,2019,Genotype
"{Aminoglycosides,Tetracyclines}",0.112676056,32,2019,Genotype
"{Beta-Lactam,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Macrolides}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Macrolides}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Folate Pathway Inhibitors,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Macrolides}",0.003521127,1,2019,Genotype
"{Folate Pathway Inhibitors,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Phenicols}",0.014084507,4,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Phenicols}",0.014084507,4,2019,Genotype
"{Beta-Lactam,Phenicols,Tetracyclines}",0.014084507,4,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors}",0.017605634,5,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Tetracyclines}",0.017605634,5,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Tetracyclines}",0.024647887,7,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Phenicols}",0.021126761,6,2019,Genotype
"{Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.021126761,6,2019,Genotype
"{Aminoglycosides,Phenicols,Tetracyclines}",0.021126761,6,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Tetracyclines}",0.063380282,18,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Macrolides}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Folate Pathway Inhibitors,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Phenicols}",0.014084507,4,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.014084507,4,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Phenicols,Tetracyclines}",0.014084507,4,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Tetracyclines}",0.017605634,5,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.021126761,6,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Macrolides,Phenicols}",0.003521127,1,2019,Genotype
"{Beta-Lactam,Folate Pathway Inhibitors,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Macrolides,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Folate Pathway Inhibitors,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Phenicols,Tetracyclines}",0.014084507,4,2019,Genotype
"{Aminoglycosides,Beta-Lactam,Folate Pathway Inhibitors,Macrolides,Phenicols,Tetracyclines}",0.003521127,1,2019,Genotype
