"ID","Year","LINCOSAMIDE","PHENICOL","PLEUROMUTILIN","AMINOGLYCOSIDE","BETA-LACTAM","FOLATE-PATHWAY-INHIBITOR","MACROLIDE","QUINOLONE","TETRACYCLINE"
"CO80526PPY20167",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20168",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20169",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20170",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20171",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20172",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20173",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20174",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20175",2019,NA,NA,NA,1,0,0,NA,NA,NA
"CO80526PPY20176",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20177",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20178",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20179",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20180",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20183",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20265",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20266",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20267",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20268",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20269",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20270",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20271",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20272",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20273",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20274",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20275",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20276",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20277",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CO80526PPY30288",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30289",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30290",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30291",2021,NA,NA,NA,1,1,0,NA,NA,0
"CO80526PPY30292",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30293",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30294",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30295",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30296",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30297",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30298",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30299",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30300",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30301",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30302",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30303",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30304",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30305",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30306",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30307",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30308",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30309",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30310",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30311",2021,NA,NA,NA,1,1,0,NA,NA,0
"CO80526PPY30312",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30313",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30314",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30315",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30316",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30317",2021,NA,NA,NA,0,1,0,NA,NA,0
"CO80526PPY30318",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30319",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30320",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30321",2021,NA,NA,NA,0,1,0,NA,NA,0
"CO80526PPY30322",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30323",2021,NA,NA,NA,1,1,0,NA,NA,0
"CO80526PPY30324",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30325",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY30339",2021,NA,NA,NA,0,1,0,NA,NA,0
"CO80526PPY40114",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY40115",2021,NA,NA,NA,0,1,0,NA,NA,0
"CO80526PPY40116",2021,NA,NA,NA,0,0,0,NA,NA,0
"CO80526PPY40117",2021,NA,NA,NA,0,1,0,NA,NA,0
